hour,month,seasonal_mean,regime
11,1,0.00467741935483871,regime_2
11,2,0.19382978723404254,regime_2
11,3,0.09706989247311827,regime_2
11,4,0.059416666666666666,regime_2
11,5,0.020161290322580645,regime_2
11,6,0.005138888888888888,regime_2
11,7,0.020725806451612903,regime_2
11,8,0.032258064516129024,regime_2
11,9,0.1035,regime_2
11,10,0.2938978494623656,regime_2
11,11,0.3348611111111111,regime_2
11,12,0.008233695652173913,regime_2
12,1,0.00375,regime_2
12,2,0.02324468085106383,regime_2
12,3,0.06228494623655914,regime_2
12,4,0.037861111111111116,regime_2
12,5,0.07551075268817205,regime_2
12,6,0.38036111111111115,regime_2
12,7,1.1399193548387097,regime_2
12,8,0.6168548387096774,regime_2
12,9,2.9940833333333337,regime_2
12,10,1.0397311827956988,regime_2
12,11,0.13597222222222222,regime_2
12,12,0.0002173913043478261,regime_2
13,1,0.0018145161290322581,regime_2
13,2,0.0017553191489361702,regime_2
13,3,0.34440860215053765,regime_2
13,4,0.8876388888888889,regime_2
13,5,0.4118010752688172,regime_2
13,6,1.0249722222222222,regime_2
13,7,4.3314784946236555,regime_2
13,8,18.8977688172043,regime_2
13,9,7.526305555555555,regime_2
13,10,2.320672043010753,regime_2
13,11,0.12691666666666668,regime_2
13,12,5.4347826086956524e-05,regime_2
14,1,8.064516129032258e-05,regime_2
14,2,0.00026595744680851064,regime_2
14,3,0.27096774193548384,regime_2
14,4,2.311027777777778,regime_2
14,5,2.165,regime_2
14,6,3.625111111111111,regime_2
14,7,10.543951612903225,regime_2
14,8,86.16489247311829,regime_2
14,9,16.28997222222222,regime_2
14,10,4.3899462365591395,regime_2
14,11,0.12333333333333332,regime_2
14,12,0.0,regime_2
15,1,0.0,regime_2
15,2,0.0007446808510638298,regime_2
15,3,0.1756451612903226,regime_2
15,4,2.350111111111111,regime_2
15,5,5.597795698924731,regime_2
15,6,8.828611111111112,regime_2
15,7,19.186209677419352,regime_2
15,8,173.86747311827955,regime_2
15,9,29.51925,regime_2
15,10,12.274623655913977,regime_2
15,11,0.07230555555555555,regime_2
15,12,0.0,regime_2
16,1,8.064516129032258e-05,regime_2
16,2,0.030372340425531916,regime_2
16,3,0.15185483870967742,regime_2
16,4,9.166055555555555,regime_2
16,5,4.0189784946236555,regime_2
16,6,9.661,regime_2
16,7,21.773010752688172,regime_2
16,8,127.58419354838709,regime_2
16,9,37.01291666666667,regime_2
16,10,19.179274193548387,regime_2
16,11,0.3376388888888889,regime_2
16,12,8.152173913043478e-05,regime_2
17,1,0.05576612903225806,regime_2
17,2,0.2098936170212766,regime_2
17,3,0.35034946236559145,regime_2
17,4,6.4319444444444445,regime_2
17,5,1.2443548387096774,regime_2
17,6,5.977111111111112,regime_2
17,7,5.174784946236559,regime_2
17,8,40.638279569892475,regime_2
17,9,23.42147222222222,regime_2
17,10,9.043198924731183,regime_2
17,11,2.836388888888889,regime_2
17,12,0.0917663043478261,regime_2
18,1,0.055403225806451614,regime_2
18,2,2.5397872340425534,regime_2
18,3,1.084032258064516,regime_2
18,4,5.480333333333333,regime_2
18,5,0.20779569892473118,regime_2
18,6,1.3649166666666668,regime_2
18,7,0.7836827956989246,regime_2
18,8,4.591317204301076,regime_2
18,9,2.8594166666666663,regime_2
18,10,4.213037634408602,regime_2
18,11,1.3913333333333333,regime_2
18,12,0.08453804347826087,regime_2
19,1,0.0068548387096774195,regime_2
19,2,0.44303191489361704,regime_2
19,3,3.8574462365591398,regime_2
19,4,2.903777777777778,regime_2
19,5,0.13634408602150538,regime_2
19,6,0.73175,regime_2
19,7,0.5515322580645161,regime_2
19,8,0.27513440860215055,regime_2
19,9,1.24075,regime_2
19,10,4.366505376344086,regime_2
19,11,0.24575,regime_2
19,12,0.06241847826086956,regime_2
20,1,0.003185483870967742,regime_2
20,2,0.01345744680851064,regime_2
20,3,2.849086021505377,regime_2
20,4,3.452861111111111,regime_2
20,5,0.6294623655913978,regime_2
20,6,0.10522222222222223,regime_2
20,7,0.5205913978494624,regime_2
20,8,0.08690860215053765,regime_2
20,9,0.15705555555555556,regime_2
20,10,1.0261827956989247,regime_2
20,11,0.11611111111111111,regime_2
20,12,0.1057336956521739,regime_2
21,1,0.005040322580645161,regime_2
21,2,0.00723404255319149,regime_2
21,3,0.11182795698924732,regime_2
21,4,0.5179722222222222,regime_2
21,5,0.0832258064516129,regime_2
21,6,0.009361111111111112,regime_2
21,7,0.049408602150537634,regime_2
21,8,8.064516129032258e-05,regime_2
21,9,0.005916666666666666,regime_2
21,10,0.250752688172043,regime_2
21,11,0.07466666666666666,regime_2
21,12,0.02635869565217391,regime_2
22,1,0.0036290322580645163,regime_2
22,2,0.00015957446808510637,regime_2
22,3,0.012688172043010752,regime_2
